Trait,Shapiro-Wilk statistic,Shapiro test p-value,Number of observations removed,Shapiro statistic after filtering,p-value after filtering
Root_weight,0.9880818128585815,0.15779158473014832,0,0.9880818128585815,0.15779158473014832
Shoot_weight,0.9914050102233887,0.3984191119670868,0,0.9914050102233887,0.3984191119670868
Root_length,0.9922788739204407,0.49492642283439636,0,0.9922788739204407,0.49492642283439636
Filtered_Shoot_length,0.9717214107513428,0.0014612766681239009,8,0.9919720888137817,0.49707725644111633
Filtered_Root_thickness,0.9692349433898926,0.0007671184721402824,8,0.9937577247619629,0.7141285538673401
Filtered_Shoot_thickness,0.9812666773796082,0.020884061232209206,3,0.9937713742256165,0.6956655979156494
Stress_Root_weight,0.9914951920509338,0.4122568368911743,0,0.9914951920509338,0.4122568368911743
Stress_Shoot_weight,0.9867594838142395,0.10901150852441788,0,0.9867594838142395,0.10901150852441788
Stress_Root_length,0.9883983731269836,0.17611148953437805,0,0.9883983731269836,0.17611148953437805
Filtered_Stress_Shoot_length,0.9707419872283936,0.0011789303971454501,10,0.9836766719818115,0.056455932557582855
Filtered_Stress_Root_thickness,0.9632413387298584,0.00018418220861349255,5,0.995361864566803,0.8885082602500916
Stress_Shoot_thickness,0.9918160438537598,0.4467044472694397,0,0.9918160438537598,0.4467044472694397
Lost_Root_weight,0.9943187832832336,0.7576904296875,0,0.9943187832832336,0.7576904296875
Lost_Shoot_weight,0.9910948872566223,0.3719472885131836,0,0.9910948872566223,0.3719472885131836
Lost_Root_length,0.9888885021209717,0.2027621865272522,0,0.9888885021209717,0.2027621865272522
Filtered_Lost_Shoot_length,0.9534452557563782,2.058040081465151e-05,10,0.9916529059410095,0.4762173295021057
Filtered_Lost_Root_thickness,0.9784520268440247,0.009563195519149303,10,0.9925066828727722,0.5737003684043884
Filtered_Lost_Shoot_thickness,0.9814320206642151,0.0225661713629961,1,0.9932456016540527,0.6238463521003723
Normalized_Root_Na+,0.4524776339530945,1.178572455005358e-22,0,0.9953354001045227,0.8746808171272278
Filtered_Root_K+,0.528024435043335,3.1077264470909614e-21,4,0.9884133338928223,0.18959355354309082
Filtered_Shoot_Na+,0.4177711009979248,2.942179492778616e-23,25,0.9920375347137451,0.5942562222480774
Filtered_Shoot_K+,0.6977711915969849,2.901246332151344e-17,5,0.7687157392501831,7.46767455002146e-15
Filtered_Stress_Root_Na+,0.22202831506729126,3.2550838406356564e-26,35,0.9869755506515503,0.23137521743774414
Filtered_Stress_Root_K+,0.20193076133728027,1.7514873759676042e-26,10,0.9822284579277039,0.03765307366847992
Stress_Shoot_Na+,0.9946474432945251,0.7981058955192566,0,0.9946474432945251,0.7981058955192566
Filtered_Stress_Shoot_K+,0.7225893139839172,1.495963814038235e-16,2,0.9885637164115906,0.1911391317844391
Filtered_Chlorophyll_A,0.9301875233650208,2.1915963088758872e-07,3,0.9899057745933533,0.27395209670066833
Filtered_Chlorophyll_B,0.9365927577018738,6.765499165339861e-07,9,0.9865150451660156,0.11737015098333359
Filtered_Stress_Chlorophyll_A,0.9489269256591797,6.787707661715103e-06,29,0.9791921377182007,0.027349701151251793
Filtered_Stress_Chlorophyll_B,0.9725311994552612,0.0016724091256037354,23,0.9852098226547241,0.10922075062990189
Filtered_Lost_Chlorophyll_A,0.975374162197113,0.003765910165384412,17,0.9826228618621826,0.048183321952819824
Filtered_Lost_Chlorophyll_B,0.9689472317695618,0.0006827947800047696,6,0.9841431379318237,0.05541878938674927
SES,0.9857655763626099,0.07596761733293533,0,0.9857655763626099,0.07596761733293533
Filtered_Length_WO_husk,0.9361910820007324,5.89620242408273e-07,12,0.9851634502410889,0.08369448781013489
Height_WO_husk,0.9926714301109314,0.5332775115966797,0,0.9926714301109314,0.5332775115966797
Width_WO_husk,0.995127260684967,0.8450956344604492,0,0.995127260684967,0.8450956344604492
Seed_volume,0.9839789271354675,0.044304922223091125,0,0.9839789271354675,0.044304922223091125
Filtered_Seed_Weight,0.9767411947250366,0.005322087090462446,6,0.9843925833702087,0.058138858526945114
Seed_density,0.9916640520095825,0.4165794253349304,0,0.9916640520095825,0.4165794253349304
